*Frequency 	V_saida-abs	V_saida-phase
100	0,0625848643171643	-1,69640154510816
158,489381132708	0,0986052102329062	-1,7694760830568
251,188839318287	0,153996681422229	-1,88414435858939
398,107636909984	0,235431520583903	-2,0614784013068
630,958329980681	0,342666470088101	-2,32648196751974
1000,00195239165	0,450620854964847	-2,69422713610109
1584,89690566052	0,500154527609291	-3,13990640384247
2511,89329737279	0,452215777111746	-3,58668931138689
3981,0841417201	0,344907177485569	-3,9572796098734
6309,59561858455	0,237726974504176	-4,22629857008222
10000,0390478711	0,156380978415888	-4,40897289147576
15849	0,101447005691087	-4,5311274389753
 
