*Frequency 	V_saida-abs	V_saida-phase
100	1,49334369216513	3,04737261490535
158,490290193996	1,48347634382786	2,99292225579303
251,191720857769	1,45952835961424	2,90851756922582
398,11448733077	1,40414317698196	2,78170214953022
630,972806274876	1,28879440843449	2,60373730841925
1000,03063171025	1,09090927050136	2,38391661207831
1584,95145022642	0,833777331351103	2,15823620185131
2511,9941528978	0,583242150530018	1,96706124600594
3981,26682258392	0,386276060231987	1,82634041640004
6309,92134051051	0,249235895850234	1,72995290344709
10000,612643588	0,159389947516382	1,66496118897436
15850	0,102208738872002	1,61961052845125
 
